App Name,Executable,Downloaded (MB),Uploaded (MB),Total (MB)
AppMarket.exe,C:\Program Files\TxGameAssistant\AppMarket\AppMarket.exe,18.46,0.00,18.46
GWCtlSrv.exe,C:\Program Files (x86)\GlassWire\GWCtlSrv.exe,1.24,3.80,5.04
chrome.exe,C:\Program Files\Google\Chrome\Application\chrome.exe,0.05,0.26,0.31
Discord.exe,C:\Users\Abdo\AppData\Local\Discord\app-1.0.9239\Discord.exe,0.02,0.03,0.05
cef_frame_render.exe,C:\Program Files\TxGameAssistant\AppMarket\cef_frame_render.exe,0.00,0.02,0.02
Spell Book.exe,C:\Program Files\Knights of the Editing Table\Spell Book.exe,0.00,0.00,0.00
asus_framework.exe,C:\Program Files (x86)\ASUS\ArmouryDevice\asus_framework.exe,0.00,0.00,0.00
msedgewebview2.exe,C:\Program Files (x86)\Microsoft\EdgeWebView\Application\148.0.3967.96\msedgewebview2.exe,0.00,0.00,0.00
Spotify.exe,C:\Users\Abdo\AppData\Roaming\Spotify\Spotify.exe,0.00,0.00,0.00
GlassWire.exe,C:\Program Files (x86)\GlassWire\GlassWire.exe,0.00,0.00,0.00
